Roepnaam;Achternaam;E-mail;Leeftijdscategorie;Lidsoorten vereniging
John 73;Doe;john.doe73@somewebsite.nl;Masters Vrouwen;Recreanten - recreatief - Week
John 73;Doe;john.doe73@somewebsite.nl;Senioren Vrouwen;
John 75;Doe;john.doe75@somewebsite.nl;Masters Mannen;Vrienden van Groene Ster - Recreatief - Week
John 76;Doe;john.doe76@gmail.com;Mini pupil Jongens;
John 77;Doe;john.doe77@gmail.com;Junior B Meisjes;
John 78;Doe;john.doe78@gmail.com;Junior C Jongens;
John 79;Doe;john.doe79@kpnplanet.nl;Junior C Meisjes;
John 80;Doe;john.doe80@kpnplanet.nl;Junior D Meisjes;
John 81;Doe;john.doe81@gmail.com;Masters Mannen;Lopers zonder wedstrijdlicentie - Recreatief - Week
John 82;Doe;john.doe82@hotmail.com;Pupil B Jongens;
John 83;Doe;john.doe83@home.nl;Masters Vrouwen;Vrienden van Groene Ster - Recreatief - Week
